CRASH_CRN,DISTRICT,MUNICIPALITY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,WEATHER,ROAD_CONDITION,COLLISION_TYPE,SCH_BUS_IND,SCH_ZONE_IND,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_MAJ_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG,WET_ROAD,SNOW_SLUSH_ROAD,ICY_ROAD,SUDDEN_DEER,FATAL_OR_MAJ_INJ,INJURY,FATAL,SCHOOL_BUS,SCHOOL_ZONE,BICYCLE,HVY_TRUCK_RELATED,ALCOHOL_RELATED,DRINKING_DRIVER,UNDERAGE_DRNK_DRV,CELL_PHONE,SPEEDING_RELATED,AGGRESSIVE_DRIVING,FATIGUE_ASLEEP,PEDESTRIAN,DISTRACTED,MC_DRINKING_DRIVER,DRUGGED_DRIVER,INJURY_OR_FATAL,IMPAIRED_DRIVER,DEER_RELATED,DRUG_RELATED,STREET_NAME
2010015302,11,2121,2010,2,3,1141,11,4,4,2,N,N,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40 32:46.422,79 46:14.238,40.5461998,-79.77059937,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RIDDLE RUN RD
2010015794,11,2478,2010,2,2,608,6,1,0,1,N,N,0,0,0,1,0,0,0,0,2,0,0,0,0,0,40 26:12.348,79 51:54.198,40.43719864,-79.86450195,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PENN LINCOLN PY
2010016096,11,2113,2010,2,5,1646,16,1,4,4,N,N,1,0,0,0,1,0,0,0,3,0,0,0,0,0,40 28:35.052,79 46:49.677,40.47639847,-79.78050232,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,SALTSBURG RD
2010016125,11,2481,2010,1,6,2017,20,1,0,7,N,N,0,0,0,0,1,0,0,0,2,0,0,0,0,0,40 36:52.005,80 05:43.864,40.61439896,-80.09549713,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,RAYMOND P SHAFER HW
2010016486,11,2301,2010,2,1,603,6,1,1,8,N,N,1,0,0,0,0,0,0,1,0,0,0,1,1,0,40 24:06.173,80 02:32.221,40.40169907,-80.04229736,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,BANKSVILLE RD
2010018503,11,2204,2010,2,6,1641,16,4,3,7,N,N,0,0,1,0,0,0,0,0,2,0,0,0,0,0,40 14:13.590,79 53:00.979,40.23709869,-79.88359833,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ROBERTS HOLLOW RD
2010018758,11,2446,2010,2,4,2220,22,4,5,6,N,N,2,0,0,0,0,0,0,0,1,0,0,0,0,0,40 26:37.270,79 46:40.760,40.44369888,-79.77799988,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,OLD WILLIAM PENN HW
2010019437,11,2116,2010,2,6,855,8,1,0,4,N,N,2,0,0,0,0,0,0,0,2,0,0,0,0,0,40 30:42.539,79 59:47.833,40.51179886,-79.99659729,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,BABCOCK BL
2010019588,11,2301,2010,2,1,6,0,8,1,6,N,N,1,0,0,0,0,0,0,0,1,0,0,1,0,1,40 27:21.274,79 53:39.289,40.45569992,-79.89309692,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,BENNETT ST
2010019589,11,2301,2010,2,1,300,3,1,0,5,N,N,2,0,0,0,0,0,0,0,2,0,0,0,0,0,40 26:41.809,79 58:38.971,40.44490051,-79.97750092,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,ELMORE ST
2010019605,11,2301,2010,2,1,450,4,1,1,4,N,N,1,0,0,0,1,0,0,1,2,0,0,3,1,2,40 27:24.919,79 53:38.878,40.45690155,-79.89409637,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,STERRETT ST
2010020919,11,2113,2010,2,4,2010,20,1,0,4,N,N,2,0,0,0,0,0,0,0,2,0,0,0,0,0,40 29:58.786,79 50:15.097,40.49969864,-79.83750153,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,VERONA RD
2010021284,11,2301,2010,2,6,125,1,1,1,8,N,N,1,0,0,0,0,0,0,0,3,0,0,3,0,1,40 27:28.231,79 58:27.285,40.45780182,-79.97419739,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,PENN AV
2010025481,11,2214,2010,2,2,1911,19,4,5,7,N,N,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40 25:50.091,80 15:41.673,40.43059921,-80.26159668,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
2010025484,11,2301,2010,3,2,635,6,1,0,7,N,N,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40 28:38.798,80 00:27.960,40.47750092,-80.00779724,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NORTH HILLS EX
2010026437,11,2301,2010,3,1,114,1,2,1,1,N,N,2,0,0,0,1,0,0,0,3,0,0,0,0,0,40 26:56.970,79 54:04.812,40.44919968,-79.90129852,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,PENN AV
2010026447,11,2301,2010,3,1,47,0,1,0,3,N,N,0,0,0,0,1,0,0,0,2,0,0,0,0,0,40 27:58.608,79 53:04.696,40.46630096,-79.88459778,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,LEMINGTON AV
2010027581,11,2301,2010,3,5,245,2,1,0,7,N,N,1,0,0,0,0,0,0,0,3,0,0,0,0,0,40 24:49.548,80 00:35.283,40.41389847,-80.00959778,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,LIBERTY AV
2010027674,11,2303,2010,3,5,1335,13,1,0,4,N,N,3,0,0,0,1,0,0,0,3,0,0,0,0,0,40 22:25.252,79 50:41.551,40.37369919,-79.84480286,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,DUQUESNE BL
2010027686,11,2301,2010,3,5,1425,14,1,0,3,N,N,2,0,0,0,0,0,0,0,1,0,0,0,0,0,40 27:42.908,79 56:48.951,40.4618988,-79.94689941,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,S MATHILDA ST
2010028477,11,2301,2010,3,6,1605,16,1,0,8,N,N,1,0,0,0,0,0,0,0,1,0,0,1,0,1,40 26:25.828,79 59:26.355,40.44049835,-79.99069977,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CENTRE AV
2010028799,11,2214,2010,3,7,1426,14,1,0,0,N,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,40 25:55.902,80 15:58.420,40.43220139,-80.2661972,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,STEUBENVILLE PK
2010028800,11,2126,2010,3,7,4,0,1,0,7,N,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40 28:43.374,80 05:32.838,40.47869873,-80.09249878,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,FAIRVIEW DR
